,Breidtjern,Bæreia,Flåte,Lyseren,Røysjø,Store_Øyvannet,Suluvatn,Svanstulvatnet,Tollreien,Abborvatn,Ellentjørn,Gearddosjavri,Gjøkvatn,Løken,Njukcajavri,Vuorasjavri
count,6718.0,14554.0,149920.0,37981.0,9178.0,7985.0,35483.0,15953.0,52864.0,23276.0,347543.0,20074.0,24284.0,1978.0,17099.0,66243.0
mean,215.07942802744913,302.30042520459904,138.63222059852413,187.25123573050723,261.3451452398643,486.45735058578464,245.35128663340984,649.7710727502027,314.9811404146813,190.5671895799573,153.1263965519725,428.4935984477064,127.41727517036409,35.26068817134815,367.6452852228286,409.0501074492585
std,13.360719040361584,59.478113862739846,45.141758616577896,20.144625743679505,36.24791561290246,28.372660272129078,46.65599598339586,55.48829542827548,60.82668077692004,27.03187848199045,33.82430622642406,39.8864426087187,21.183613782692785,11.952910708244694,17.051379378243162,52.91531613444869
min,187.036376953125,230.85241699218798,50.593635559082,160.997222900391,210.982147216797,441.647125244141,142.69723510742202,570.482666015625,217.453903198242,147.977630615234,70.9984970092773,367.97994995117205,96.9980316162109,21.9999732971191,346.995697021484,345.16580200195295
25%,207.08924865722648,254.4861984252925,106.799871444702,169.710861206055,234.7451972961425,461.943969726562,212.2859954833985,594.579772949219,260.8785858154295,170.68450164794925,129.790756225586,390.349090576172,109.0447521209715,25.36357259750365,357.47645568847645,363.884124755859
50%,214.0704040527345,284.2086334228515,133.396896362305,183.680725097656,253.7190246582035,486.538635253906,242.354202270508,648.574462890625,317.145935058594,185.1820373535155,148.890884399414,424.2823333740235,126.4346923828125,31.84218978881835,361.84329223632795,390.018005371094
75%,225.32310485839824,341.2021713256835,163.5522117614745,202.859283447266,283.8387832641605,505.89208984375,278.12080383300804,687.4183959960941,358.553382873535,204.55428695678748,178.5522994995115,460.35966491699253,141.75885772705075,43.55627155303955,373.01924133300804,452.0716552734375
max,250.76477050781202,454.667816162109,299.873382568359,250.234298706055,378.94873046875,565.864501953125,379.13137817382795,800.591430664062,458.66799926757795,329.314239501953,329.314239501953,522.7542724609381,212.931610107422,73.11737060546879,450.765808105469,573.741027832031
