Breidtjern,4275625,4275625,99.9999999999999
Gearddosjavri,13599375,13599375,99.9999999999999
Suluvatn,23005624.1201132,23005625,99.9999961753408
Gjøkvatn,15493125,15493125,100
Flåte,97409545.6932429,97451875,99.956563886783
Store_Øyvannet,5200623.00102438,5200625,99.999961562781
Ellentjørn,184484660.6622,237983750,77.5198561507665
Abborvatn,15038750,15038750,100
Lyseren,28714373.9745931,28714375,99.9999964289423
Njukcajavri,11483125,11483125,99.9999999999999
Tollreien,33950625,33950625,100
Røysjø,6291874.1201132,6291875,99.9999860155073
Bæreia,10078750,10078750,100
Vuorasjavri,44685000,44685000,100
Svanstulvatnet,10490624.5924577,10490625,99.9999961151763
Løken,1245000,1245000,100
