Year	Month	Day	OutflowQ	OutflowDOC
1986	1	1	0.0113238	11532.6475821
1986	1	2	0.0113238	11565.8694866
1986	1	3	0.0113238	11585.6723641
1986	1	4	0.0113238	11598.8587312
1986	1	5	0.0113238	11609.5527893
1986	1	6	0.0113238	10200.0
1986	1	7	0.0113238	10096.2057901
1986	1	8	0.0087448	10060.0550032
1986	1	9	0.0113238	10081.9533351
1986	1	10	0.0113238	10152.3064814
1986	1	11	0.0113238	10261.5201378
1986	1	12	0.0113238	10400.0
1986	1	13	0.0113238	10558.4931887
1986	1	14	0.0113238	10729.1125244
1986	1	15	0.0113238	10904.3122526
1986	1	16	0.0113238	11076.5466188
1986	1	17	0.0113238	11238.2698684
1986	1	18	0.0113238	11381.936247
1986	1	19	0.0113238	11500.0
1986	1	20	0.0113238	11586.5442381
1986	1	21	0.0113238	11642.1675324
1986	1	22	0.0113238	11669.0973194
1986	1	23	0.0143063	11669.5610354
1986	1	24	0.0143063	11645.7861168
1986	1	25	0.0113238	11600.0
1986	1	26	0.0113238	11534.6086364
1986	1	27	0.0113238	11452.7320376
1986	1	28	0.0113238	11357.6687302
1986	1	29	0.0113238	11252.7172411
1986	1	30	0.0113238	11141.1760968
1986	1	31	0.0113238	11026.3438241
1986	2	1	0.0113238	10911.5189496
1986	2	2	0.0113238	10800.0
1986	2	3	0.0087448	10694.5344539
1986	2	4	0.0087448	10595.6655976
1986	2	5	0.0087448	10503.3856693
1986	2	6	0.0087448	10417.6869072
1986	2	7	0.0087448	10338.5615494
1986	2	8	0.0087448	10266.0018343
1986	2	9	0.0087448	10200.0
1986	2	10	0.0087448	10142.8195505
1986	2	11	0.0087448	10105.809053
1986	2	12	0.0087448	10102.5883404
1986	2	13	0.0087448	10146.7772459
1986	2	14	0.0087448	10251.9956023
1986	2	15	0.0113238	10431.8632427
1986	2	16	0.0113238	10700.0
1986	2	17	0.0113238	11060.4264112
1986	2	18	0.0113238	11478.7658291
1986	2	19	0.0113238	11911.0423101
1986	2	20	0.0113238	12313.2799111
1986	2	21	0.0113238	12641.5026887
1986	2	22	0.0113238	12851.7346994
1986	2	23	0.0113238	12900.0
1986	2	24	0.0113238	12757.7488571
1986	2	25	0.0113238	12458.1363771
1986	2	26	0.0113238	12049.7438767
1986	2	27	0.0143063	11581.1526723
1986	2	28	0.0143063	11100.9440804
1986	3	1	0.0113238	10657.6994174
1986	3	2	0.0087448	10300.0
1986	3	3	0.0065505	10064.8463821
1986	3	4	0.0065505	9942.9160676
1986	3	5	0.0047208	9913.30579813
1986	3	6	0.0032344	9955.11231514
1986	3	7	0.0020681	10047.4323601
1986	3	8	0.0020681	10169.3626746
1986	3	9	0.0011963	10300.0
1986	3	10	0.0011963	10421.2369635
1986	3	11	0.0032344	10526.1497347
1986	3	12	0.0065505	10610.6103687
1986	3	13	0.0065505	10670.4909208
1986	3	14	0.0047208	10701.6634462
1986	3	15	0.0065505	10700.0
1986	3	16	0.0065505	10663.5030202
1986	3	17	0.0065505	10598.6964751
1986	3	18	0.0065505	10514.2347161
1986	3	19	0.0065505	10418.7720941
1986	3	20	0.0065505	10320.9629604
1986	3	21	0.0065505	10229.461666
1986	3	22	0.0065505	10152.9225622
1986	3	23	0.0087448	10100.0
1986	3	24	0.0087448	10076.7415914
1986	3	25	0.0087448	10078.7679917
1986	3	26	0.0113238	10099.0931167
1986	3	27	0.0113238	10130.7308824
1986	3	28	0.0113238	10166.6952048
1986	3	29	0.0113238	10200.0
1986	3	30	0.0113238	10225.3537829
1986	3	31	0.0113238	10244.2434646
1986	4	1	0.0143063	10259.8505553
1986	4	2	0.0143063	10275.3565652
1986	4	3	0.0143063	10293.9430045
1986	4	4	0.0143063	10318.7913833
1986	4	5	0.0143063	10353.0832117
1986	4	6	0.0143063	10400.0
1986	4	7	0.0143063	10461.1221993
1986	4	8	0.0143063	10531.6260245
1986	4	9	0.0113238	10605.0866317
1986	4	10	0.0113238	10675.0791769
1986	4	11	0.0113238	10735.178816
1986	4	12	0.0113238	10778.9607051
1986	4	13	0.0113238	10800.0
1986	4	14	0.0113238	10793.1231818
1986	4	15	0.0113238	10758.1620314
1986	4	16	0.0113238	10696.1996545
1986	4	17	0.0113238	10608.3191571
1986	4	18	0.0113238	10495.603645
1986	4	19	0.0113238	10359.136224
1986	4	20	0.0113238	10200.0
1986	4	21	0.0113238	10022.8865312
1986	4	22	0.0143063	9846.92118525
1986	4	23	0.0143063	9694.83778223
1986	4	24	0.0177102	9589.37014215
1986	4	25	0.0177102	9553.25208506
1986	4	26	0.025849	9609.217431
1986	4	27	0.0546732	9780.0
1986	4	28	0.1071861	10074.3394398
1986	4	29	0.1963924	10444.9987087
1986	4	30	0.3671845	10830.7465927
1986	5	1	0.5871169	11170.3518778
1986	5	2	0.8754784	11402.58335
1986	5	3	1.0937601	11466.2097954
1986	5	4	1.1411265	11300.0
1986	5	5	1.2396799	10870.1762303
1986	5	6	1.1897619	10252.7746757
1986	5	7	1.0476489	9551.28500584
1986	5	8	1.0027791	8869.19689067
1986	5	9	1.1897619	8310.0
1986	5	10	1.0476489	7953.83266126
1986	5	11	0.9591365	7787.4278323
1986	5	12	0.8754784	7774.16712855
1986	5	13	0.5560389	7877.43216545
1986	5	14	0.3441212	8060.60455844
1986	5	15	0.2446756	8287.06592295
1986	5	16	0.2446756	8520.19787442
1986	5	17	0.2621814	8723.38202829
1986	5	18	0.2278818	8860.0
1986	5	19	0.1963924	8903.61845339
1986	5	20	0.1676372	8868.54424589
1986	5	21	0.1415372	8779.26928338
1986	5	22	0.1542603	8660.28547168
1986	5	23	0.1676372	8536.08471665
1986	5	24	0.1542603	8431.15892414
1986	5	25	0.1294575	8370.0
1986	5	26	0.1180107	8369.07347314
1986	5	27	0.0969728	8412.73936472
1986	5	28	0.0969728	8477.33131897
1986	5	29	0.0873595	8539.18298011
1986	5	30	0.0698869	8574.62799238
1986	5	31	0.0620038	8560.0
1986	6	1	0.0546732	8479.52439245
1986	6	2	0.0416182	8348.99354024
1986	6	3	0.0358673	8192.09155913
1986	6	4	0.0306157	8032.50256487
1986	6	5	0.0478823	7893.91067325
1986	6	6	0.0698869	7800.0
1986	6	7	0.0873595	7768.40127737
1986	6	8	0.1294575	7792.53170347
1986	6	9	0.1294575	7859.75509288
1986	6	10	0.1071861	7957.43526019
1986	6	11	0.0969728	8072.93601997
1986	6	12	0.0783348	8193.62118681
1986	6	13	0.0620038	8306.85457529
1986	6	14	0.0478823	8400.0
1986	6	15	0.0416182	8462.99462007
1986	6	16	0.0306157	8496.06897284
1986	6	17	0.025849	8502.02694022
1986	6	18	0.0215524	8483.67240409
1986	6	19	0.025849	8443.80924636
1986	6	20	0.0215524	8385.24134892
1986	6	21	0.0177102	8310.77259366
1986	6	22	0.0177102	8223.2068625
1986	6	23	0.0143063	8125.34803731
1986	6	24	0.0113238	8020.0
1986	6	25	0.0113238	7911.81417248
1986	6	26	0.0087448	7812.83213673
1986	6	27	0.0065505	7736.94301474
1986	6	28	0.0065505	7698.0359285
1986	6	29	0.0047208	7710.0
1986	6	30	0.0047208	7780.87937408
1986	7	1	0.0032344	7895.33828696
1986	7	2	0.0020681	8032.19599767
1986	7	3	0.0020681	8170.27176528
1986	7	4	0.0011963	8288.38484884
1986	7	5	0.0005907	8365.35450739
1986	7	6	0.0005907	8380.0
1986	7	7	0.0002185	8319.04653451
1986	7	8	3.99e-05	8200.84311397
1986	7	9	0.0	8051.64469023
1986	7	10	0.0	7897.70621511
1986	7	11	0.0	7765.28264047
1986	7	12	0.0	7680.62891816
1986	7	13	0.0	7670.0
1986	7	14	0.0	7750.64604132
1986	7	15	0.0	7903.79801127
1986	7	16	0.0	8101.6820825
1986	7	17	0.0	8316.52442764
1986	7	18	0.0	8520.55121933
1986	7	19	0.0	8685.98863019
1986	7	20	0.0	8785.06283287
1986	7	21	0.0	8790.0
1986	7	22	0.0	8683.31606845
1986	7	23	0.0	8488.68603208
1986	7	24	0.0	8240.07464896
1986	7	25	0.0	7971.44667718
1986	7	26	0.0	7716.76687484
1986	7	27	0.0	7510.0
1986	7	28	0.0	7377.10138358
1986	7	29	3.99e-05	7311.9886477
1986	7	30	3.99e-05	7300.56998734
1986	7	31	3.99e-05	7328.75359743
1986	8	1	0.0011963	7382.44767294
1986	8	2	0.0020681	7447.56040881
1986	8	3	0.0032344	7510.0
1986	8	4	0.0047208	7558.85680629
1986	8	5	0.0087448	7595.94984679
1986	8	6	0.0143063	7626.28030543
1986	8	7	0.0143063	7654.84936613
1986	8	8	0.0478823	7686.65821284
1986	8	9	0.2117905	7726.70802949
1986	8	10	0.2278818	7780.0
1986	8	11	0.1816779	7851.02824257
1986	8	12	0.1415372	7942.25861236
1986	8	13	0.1071861	8055.64989883
1986	8	14	0.0783348	8193.16089139
1986	8	15	0.0620038	8356.75037949
1986	8	16	0.1180107	8548.37715255
1986	8	17	0.5560389	8770.0
1986	8	18	0.469074	9020.87861995
1986	8	19	0.300776	9289.47634515
1986	8	20	0.300776	9561.55741704
1986	8	21	0.2446756	9822.88607704
1986	8	22	0.2804625	10059.2265666
1986	8	23	0.2446756	10256.3431271
1986	8	24	0.1963924	10400.0
1986	8	25	0.1542603	10480.588473
1986	8	26	0.1294575	10507.0080187
1986	8	27	0.1071861	10492.785156
1986	8	28	0.1180107	10451.4464039
1986	8	29	0.2117905	10396.5182813
1986	8	30	0.300776	10341.527307
1986	8	31	0.2278818	10300.0
1986	9	1	0.1676372	10282.1902287
1986	9	2	0.1294575	10285.2612594
1986	9	3	0.1071861	10303.103708
1986	9	4	0.0873595	10329.6081906
1986	9	5	0.0698869	10358.6653228
1986	9	6	0.0620038	10384.1657206
1986	9	7	0.0478823	10400.0
1986	9	8	0.0416182	10401.4161082
1986	9	9	0.0306157	10389.0913188
1986	9	10	0.0416182	10365.0602364
1986	9	11	0.0478823	10331.3574661
1986	9	12	0.0620038	10290.0176128
1986	9	13	0.0620038	10243.0752812
1986	9	14	0.0620038	10192.5650764
1986	9	15	0.0698869	10140.5216031
1986	9	16	0.0698869	10088.9794663
1986	9	17	0.0620038	10039.9732708
1986	9	18	0.0620038	9995.53762154
1986	9	19	0.0478823	9957.7071234
1986	9	20	0.0478823	9928.51638126
1986	9	21	0.0416182	9910.0
1986	9	22	0.0306157	9903.28828641
1986	9	23	0.025849	9905.89435491
1986	9	24	0.025849	9914.42702181
1986	9	25	0.0215524	9925.49510345
1986	9	26	0.0177102	9935.70741615
1986	9	27	0.0177102	9941.67277622
1986	9	28	0.0143063	9940.0
1986	9	29	0.0143063	9928.22621856
1986	9	30	0.0113238	9907.60182204
1986	10	1	0.0113238	9880.30551533
1986	10	2	0.0113238	9848.51600331
1986	10	3	0.0087448	9814.41199087
1986	10	4	0.0065505	9780.17218292
1986	10	5	0.0065505	9747.97528433
1986	10	6	0.0065505	9720.0
1986	10	7	0.0065505	9699.19906414
1986	10	8	0.0065505	9691.62132822
1986	10	9	0.0087448	9704.08967305
1986	10	10	0.0087448	9743.42697942
1986	10	11	0.0087448	9816.45612814
1986	10	12	0.0113238	9930.0
1986	10	13	0.0087448	10086.3587674
1986	10	14	0.0113238	10269.7417691
1986	10	15	0.0113238	10459.8356355
1986	10	16	0.0087448	10636.3269969
1986	10	17	0.0087448	10778.9024837
1986	10	18	0.0087448	10867.2487262
1986	10	19	0.0358673	10881.0523549
1986	10	20	0.1294575	10800.0
1986	10	21	0.1542603	10613.6201368
1986	10	22	0.1542603	10350.8086198
1986	10	23	0.1294575	10050.3031483
1986	10	24	0.1071861	9750.84142158
1986	10	25	0.0969728	9491.16113905
1986	10	26	0.1071861	9310.0
1986	10	27	0.1294575	9235.38324083
1986	10	28	0.2621814	9252.48624617
1986	10	29	0.6868279	9335.77193772
1986	10	30	0.469074	9459.70323718
1986	10	31	0.469074	9598.74306625
1986	11	1	0.3441212	9727.35434663
1986	11	2	0.2278818	9820.0
1986	11	3	0.1816779	9857.95553937
1986	11	4	0.1415372	9849.74684288
1986	11	5	0.1180107	9810.71237998
