,Adventelva,Endalselva,Todalselva,Bolterelva,Foxelva,AdventelvaSea,DeGeerelva,Sassenelva,Gipsdalselva,Ebbaelva
count,1079153.0,77329.0,90592.0,92942.0,64714.0,1280943.0,204311.0,22857.0,578829.0,137855.0
mean,439.38097922688235,452.1622757470912,484.63747010265547,508.33554214916217,546.297248416503,433.5737834043232,412.12891033096486,76.98276111569237,386.7331153174108,504.49080852489425
std,250.05359572996065,239.05874980853267,204.60454194085872,205.19471798995977,206.49652121430282,253.27843915033407,217.57243313454936,97.39979214824069,262.0043078738746,258.1928272711417
min,3.22496294975281,3.9830338954925497,49.152259826660206,56.953365325927706,98.3717498779297,0.702464520931244,9.69434070587158,0.5161859393119811,0.902945220470428,0.439644873142242
25%,222.69921875,270.074493408203,351.76221466064476,363.80242919921847,393.47509002685547,215.66089630126947,234.6719818115235,3.1091508865356405,131.582824707031,325.5323181152345
50%,448.34207153320295,478.56155395507795,500.9388122558595,527.5746765136721,562.4660339355464,445.70162963867205,404.384613037109,24.7802085876465,396.923217773438,556.4652099609381
75%,637.641540527344,610.776428222656,603.7683868408203,669.5826416015627,717.590591430664,631.827423095703,570.898193359375,157.143203735352,593.965515136719,692.77978515625
max,1143.69360351562,1020.98486328125,1021.3184204101599,966.3329467773441,1012.7486572265599,1143.69360351562,991.560668945312,477.400085449219,1117.07299804688,1119.64697265625
