,TG
1970-12-31 18:00:00,-6.467418466266508
1971-01-01 18:00:00,-5.5738006933086695
1971-01-02 18:00:00,-3.866029119393147
1971-01-03 18:00:00,0.191429480976808
1971-01-04 18:00:00,0.2214686609771661
1971-01-05 18:00:00,-4.916961233629195
1971-01-06 18:00:00,-3.0589343800957636
1971-01-07 18:00:00,3.230561424736891
1971-01-08 18:00:00,5.774213560848011
1971-01-09 18:00:00,6.472981279698388
1971-01-10 18:00:00,5.851758095241223
1971-01-11 18:00:00,5.7681560315576235
1971-01-12 18:00:00,5.641948563338417
1971-01-13 18:00:00,1.8894207635430575
1971-01-14 18:00:00,0.33275896630311763
1971-01-15 18:00:00,1.625604399246697
1971-01-16 18:00:00,1.484476498469519
1971-01-17 18:00:00,3.566085230378178
1971-01-18 18:00:00,4.094649259828714
1971-01-19 18:00:00,3.7366118591490363
1971-01-20 18:00:00,1.9752354240690124
1971-01-21 18:00:00,1.8334309100626456
1971-01-22 18:00:00,2.093411604408402
1971-01-23 18:00:00,2.0115755708761185
1971-01-24 18:00:00,3.0869707318580595
1971-01-25 18:00:00,4.179940444079989
1971-01-26 18:00:00,1.7361005546313777
1971-01-27 18:00:00,0.5220566962374846
1971-01-28 18:00:00,0.20570565750483638
1971-01-29 18:00:00,-1.1425497184031315
1971-01-30 18:00:00,-1.952178609397265
1971-01-31 18:00:00,-2.621999866913768
1971-02-01 18:00:00,-4.464072330645877
1971-02-02 18:00:00,0.09648759261330042
1971-02-03 18:00:00,3.1396375702625505
1971-02-04 18:00:00,4.007127490022924
1971-02-05 18:00:00,3.911940170565117
1971-02-06 18:00:00,4.591297395968695
1971-02-07 18:00:00,4.888563084850659
1971-02-08 18:00:00,5.391674323043844
1971-02-09 18:00:00,4.190270982254276
1971-02-10 18:00:00,4.196101047492334
1971-02-11 18:00:00,4.57111210690374
1971-02-12 18:00:00,4.694697111015273
1971-02-13 18:00:00,2.7500295883592116
1971-02-14 18:00:00,1.8124121948445122
1971-02-15 18:00:00,2.455404429706789
1971-02-16 18:00:00,2.430806727961567
1971-02-17 18:00:00,1.5055091432006975
1971-02-18 18:00:00,1.4832235023501994
1971-02-19 18:00:00,0.26340952379177907
1971-02-20 18:00:00,0.845869078137298
1971-02-21 18:00:00,2.0517726483810748
1971-02-22 18:00:00,0.5106920875408605
1971-02-23 18:00:00,1.340919663584657
1971-02-24 18:00:00,3.8262967997372357
1971-02-25 18:00:00,-0.5661867682574098
1971-02-26 18:00:00,-3.945805229670384
1971-02-27 18:00:00,-5.11824277702749
1971-02-28 18:00:00,-5.150099627290501
1971-03-01 18:00:00,-6.192010067389106
1971-03-02 18:00:00,-6.015072055455732
1971-03-03 18:00:00,-8.12602387332231
1971-03-04 18:00:00,-8.38882852884933
1971-03-05 18:00:00,-5.786080782137844
1971-03-06 18:00:00,-1.8475684164579889
1971-03-07 18:00:00,3.1093319512910966
1971-03-08 18:00:00,3.896846382099511
1971-03-09 18:00:00,-0.16531433942049034
1971-03-10 18:00:00,-2.805207049427736
